incident_id,incident_date,detection_date,severity,incident_type,department,execution_id,vendor_id,financial_impact_usd,status,reported_by
INC_00000064,2023-04-03 00:00:00,2023-04-04 00:00:00,low,policy_violation,Sales,EXEC_00024602,,13556,closed,David Brown
INC_00000065,2024-09-08 00:00:00,2024-09-10 00:00:00,medium,access_violation,IT,,,33807,remediated,Emma Davis
INC_00000066,2023-05-18 00:00:00,2023-05-19 00:00:00,medium,access_violation,HR,EXEC_00022574,,16296,investigating,Iris Taylor
INC_00000067,2024-03-23 00:00:00,2024-03-23 00:00:00,low,policy_violation,Marketing,,,7357,remediated,Carol Williams
INC_00000068,2023-03-17 00:00:00,2023-03-19 00:00:00,medium,third_party_breach,Customer Support,,VND_095,254902,investigating,Henry Moore
INC_00000069,2024-10-16 00:00:00,2024-10-18 00:00:00,low,access_violation,Marketing,,,31353,remediated,Emma Davis
INC_00000070,2023-10-24 00:00:00,2023-10-27 00:00:00,critical,policy_violation,IT,,,8011,remediated,Bob Johnson
INC_00000071,2024-01-08 00:00:00,2024-01-09 00:00:00,medium,system_failure,HR,EXEC_00004634,,61691,closed,Carol Williams
INC_00000072,2025-01-29 00:00:00,2025-01-29 00:00:00,low,third_party_breach,IT,EXEC_00014078,VND_059,283963,remediated,Jack Anderson
INC_00000073,2023-03-09 00:00:00,2023-03-11 00:00:00,medium,third_party_breach,HR,,VND_079,338981,remediated,David Brown
INC_00000074,2023-08-22 00:00:00,2023-08-22 00:00:00,low,system_failure,Legal,,,83355,closed,Carol Williams
INC_00000075,2024-12-03 00:00:00,2024-12-06 00:00:00,low,system_failure,IT,,,69069,remediated,Iris Taylor
INC_00000076,2024-12-06 00:00:00,2024-12-09 00:00:00,critical,system_failure,Sales,EXEC_00022196,,53563,remediated,Emma Davis
INC_00000077,2024-09-29 00:00:00,2024-10-01 00:00:00,low,policy_violation,Operations,EXEC_00010864,,19400,remediated,Frank Miller
INC_00000078,2024-05-07 00:00:00,2024-05-10 00:00:00,medium,system_failure,Finance,,,79376,remediated,Frank Miller
INC_00000079,2024-01-30 00:00:00,2024-02-02 00:00:00,low,access_violation,Sales,,,18573,remediated,Alice Smith
INC_00000080,2024-08-05 00:00:00,2024-08-07 00:00:00,low,system_failure,Marketing,,,95717,open,David Brown
INC_00000081,2023-03-18 00:00:00,2023-03-18 00:00:00,low,third_party_breach,Operations,,VND_081,263816,investigating,Emma Davis
INC_00000082,2024-12-03 00:00:00,2024-12-06 00:00:00,critical,policy_violation,IT,,,7642,closed,David Brown
INC_00000083,2025-01-31 00:00:00,2025-01-31 00:00:00,low,data_breach,Operations,,,176176,remediated,Henry Moore
INC_00000084,2023-05-22 00:00:00,2023-05-24 00:00:00,medium,access_violation,HR,,,25437,remediated,Iris Taylor
INC_00000085,2024-09-05 00:00:00,2024-09-07 00:00:00,low,data_breach,Customer Support,,,239075,remediated,Jack Anderson
INC_00000086,2023-05-14 00:00:00,2023-05-14 00:00:00,low,system_failure,Marketing,,,85975,closed,Frank Miller
INC_00000087,2024-07-29 00:00:00,2024-07-29 00:00:00,high,third_party_breach,Marketing,EXEC_00003114,VND_093,350908,remediated,Emma Davis
INC_00000088,2023-07-29 00:00:00,2023-07-31 00:00:00,low,policy_violation,Operations,,,14383,investigating,Emma Davis
INC_00000089,2023-12-03 00:00:00,2023-12-06 00:00:00,low,policy_violation,Customer Support,EXEC_00000552,,13013,remediated,Carol Williams
INC_00000090,2024-11-17 00:00:00,2024-11-20 00:00:00,medium,data_breach,Finance,,,224408,investigating,Frank Miller
INC_00000091,2023-04-28 00:00:00,2023-04-28 00:00:00,medium,policy_violation,Operations,EXEC_00003907,,13664,remediated,Alice Smith
INC_00000092,2024-11-15 00:00:00,2024-11-17 00:00:00,medium,access_violation,Finance,,,12640,investigating,Frank Miller
INC_00000093,2024-03-02 00:00:00,2024-03-04 00:00:00,medium,access_violation,Customer Support,,,25454,closed,Jack Anderson
INC_00000094,2023-08-26 00:00:00,2023-08-27 00:00:00,medium,third_party_breach,Customer Support,,VND_018,373824,remediated,David Brown
INC_00000095,2023-08-30 00:00:00,2023-08-30 00:00:00,low,access_violation,Finance,,,26447,remediated,Henry Moore
INC_00000096,2024-06-08 00:00:00,2024-06-10 00:00:00,low,data_breach,HR,,,269711,investigating,David Brown
INC_00000097,2024-10-14 00:00:00,2024-10-17 00:00:00,low,third_party_breach,Legal,,VND_020,128821,remediated,Frank Miller
INC_00000098,2023-08-28 00:00:00,2023-08-28 00:00:00,medium,system_failure,Legal,EXEC_00000846,,65292,closed,Frank Miller
INC_00000099,2023-07-20 00:00:00,2023-07-23 00:00:00,low,data_breach,Customer Support,,,221049,open,David Brown
INC_00000100,2024-06-08 00:00:00,2024-06-11 00:00:00,low,access_violation,IT,,,42904,open,Henry Moore
INC_00000101,2024-12-10 00:00:00,2024-12-10 00:00:00,low,third_party_breach,HR,,VND_010,225709,closed,Henry Moore
INC_00000102,2025-01-20 00:00:00,2025-01-23 00:00:00,high,third_party_breach,Sales,,VND_025,104396,remediated,Grace Wilson
INC_00000103,2025-01-15 00:00:00,2025-01-16 00:00:00,low,data_breach,Marketing,EXEC_00031666,,222518,closed,Frank Miller
INC_00000104,2024-03-15 00:00:00,2024-03-15 00:00:00,high,data_breach,Sales,,,131285,open,Bob Johnson
INC_00000105,2024-08-26 00:00:00,2024-08-26 00:00:00,medium,policy_violation,Sales,EXEC_00020778,,12253,remediated,Alice Smith
INC_00000106,2023-03-18 00:00:00,2023-03-18 00:00:00,low,data_breach,HR,,,188360,closed,Bob Johnson
INC_00000107,2024-12-10 00:00:00,2024-12-13 00:00:00,medium,data_breach,IT,,,192836,remediated,Emma Davis
INC_00000108,2024-08-04 00:00:00,2024-08-04 00:00:00,low,access_violation,Finance,,,48221,remediated,Frank Miller
INC_00000109,2023-07-08 00:00:00,2023-07-08 00:00:00,medium,policy_violation,Operations,,,10616,remediated,Carol Williams
INC_00000110,2023-02-04 00:00:00,2023-02-07 00:00:00,medium,access_violation,Operations,,,28515,investigating,David Brown
INC_00000111,2023-10-23 00:00:00,2023-10-24 00:00:00,medium,data_breach,IT,,,121190,remediated,Carol Williams
INC_00000112,2024-10-21 00:00:00,2024-10-23 00:00:00,low,policy_violation,Finance,EXEC_00025072,,13204,remediated,Alice Smith
INC_00000113,2023-03-10 00:00:00,2023-03-13 00:00:00,low,system_failure,HR,,,37851,remediated,Jack Anderson
INC_00000114,2023-05-28 00:00:00,2023-05-31 00:00:00,medium,access_violation,Sales,,,27387,open,Iris Taylor
INC_00000115,2024-03-04 00:00:00,2024-03-05 00:00:00,medium,policy_violation,IT,,,7945,closed,Frank Miller
INC_00000116,2023-02-15 00:00:00,2023-02-17 00:00:00,low,access_violation,Sales,,,49375,open,Grace Wilson
INC_00000117,2024-08-21 00:00:00,2024-08-23 00:00:00,high,access_violation,IT,,,30145,remediated,David Brown
INC_00000118,2023-08-18 00:00:00,2023-08-20 00:00:00,low,policy_violation,Legal,EXEC_00014450,,6456,remediated,Grace Wilson
INC_00000119,2024-08-13 00:00:00,2024-08-13 00:00:00,low,system_failure,IT,EXEC_00000114,,96145,remediated,Frank Miller
INC_00000120,2024-10-15 00:00:00,2024-10-18 00:00:00,critical,access_violation,IT,,,14031,open,Emma Davis
INC_00000121,2024-02-28 00:00:00,2024-03-02 00:00:00,high,third_party_breach,Customer Support,,VND_013,120866,investigating,Emma Davis
INC_00000122,2023-07-27 00:00:00,2023-07-28 00:00:00,low,data_breach,Legal,EXEC_00019871,,145631,remediated,David Brown
INC_00000123,2023-11-07 00:00:00,2023-11-08 00:00:00,high,access_violation,Customer Support,,,28401,open,Emma Davis
INC_00000124,2023-04-26 00:00:00,2023-04-28 00:00:00,medium,data_breach,Legal,,,262799,remediated,Jack Anderson
INC_00000125,2024-12-12 00:00:00,2024-12-15 00:00:00,low,data_breach,Marketing,EXEC_00020167,,100527,investigating,Emma Davis
INC_00000126,2024-04-16 00:00:00,2024-04-16 00:00:00,medium,third_party_breach,Finance,EXEC_00002253,VND_080,382885,closed,Henry Moore
INC_00000127,2024-05-26 00:00:00,2024-05-28 00:00:00,medium,data_breach,Finance,,,114652,remediated,Carol Williams
INC_00000128,2023-05-16 00:00:00,2023-05-16 00:00:00,low,system_failure,Operations,,,38816,remediated,Emma Davis
INC_00000129,2023-05-21 00:00:00,2023-05-24 00:00:00,low,access_violation,HR,,,12696,closed,Henry Moore
INC_00000130,2024-03-30 00:00:00,2024-04-02 00:00:00,medium,system_failure,Sales,EXEC_00000262,,94943,investigating,Frank Miller
INC_00000131,2023-07-09 00:00:00,2023-07-09 00:00:00,medium,system_failure,Legal,,,73676,remediated,Alice Smith
INC_00000132,2024-06-24 00:00:00,2024-06-26 00:00:00,low,third_party_breach,IT,,VND_031,182643,remediated,Grace Wilson
INC_00000133,2023-12-21 00:00:00,2023-12-22 00:00:00,medium,policy_violation,Finance,EXEC_00005276,,18229,closed,Iris Taylor
INC_00000134,2024-03-01 00:00:00,2024-03-04 00:00:00,medium,system_failure,IT,,,38998,remediated,Emma Davis
INC_00000135,2024-01-19 00:00:00,2024-01-20 00:00:00,high,data_breach,Operations,EXEC_00007693,,202654,remediated,Grace Wilson
INC_00000136,2023-02-05 00:00:00,2023-02-05 00:00:00,medium,access_violation,Marketing,,,16116,remediated,Carol Williams
INC_00000137,2023-03-30 00:00:00,2023-03-31 00:00:00,low,policy_violation,Operations,,,12543,remediated,Henry Moore
INC_00000138,2025-01-04 00:00:00,2025-01-05 00:00:00,low,system_failure,Sales,,,30925,investigating,Frank Miller
INC_00000139,2023-03-29 00:00:00,2023-03-31 00:00:00,low,data_breach,IT,EXEC_00029364,,178327,closed,Bob Johnson
INC_00000140,2024-05-11 00:00:00,2024-05-12 00:00:00,medium,policy_violation,Legal,EXEC_00017381,,7563,investigating,Jack Anderson
INC_00000141,2024-09-23 00:00:00,2024-09-26 00:00:00,low,access_violation,HR,,,34785,remediated,Alice Smith
INC_00000142,2024-03-05 00:00:00,2024-03-05 00:00:00,low,access_violation,Legal,,,14494,remediated,Bob Johnson
INC_00000143,2023-08-06 00:00:00,2023-08-06 00:00:00,low,third_party_breach,Sales,EXEC_00030838,VND_061,161214,remediated,Iris Taylor
INC_00000144,2023-03-08 00:00:00,2023-03-10 00:00:00,medium,policy_violation,Marketing,,,13245,closed,Alice Smith
INC_00000145,2023-04-24 00:00:00,2023-04-24 00:00:00,high,policy_violation,Sales,EXEC_00003990,,19350,remediated,Jack Anderson
INC_00000146,2023-05-04 00:00:00,2023-05-07 00:00:00,medium,policy_violation,Customer Support,,,13220,investigating,Carol Williams
INC_00000147,2023-12-11 00:00:00,2023-12-14 00:00:00,high,system_failure,HR,,,33310,remediated,Frank Miller
INC_00000148,2023-04-25 00:00:00,2023-04-27 00:00:00,medium,access_violation,Marketing,,,36715,open,Henry Moore
INC_00000149,2024-10-12 00:00:00,2024-10-13 00:00:00,medium,system_failure,Finance,EXEC_00032456,,98722,remediated,Iris Taylor
INC_00000150,2024-03-15 00:00:00,2024-03-16 00:00:00,medium,system_failure,Marketing,EXEC_00017512,,84378,remediated,Iris Taylor
INC_00000151,2023-02-10 00:00:00,2023-02-12 00:00:00,low,system_failure,Sales,,,37657,remediated,Jack Anderson
INC_00000152,2024-10-30 00:00:00,2024-10-31 00:00:00,medium,access_violation,IT,,,17973,remediated,David Brown
INC_00000153,2025-01-20 00:00:00,2025-01-23 00:00:00,high,system_failure,Marketing,,,48467,closed,Grace Wilson
INC_00000154,2024-01-29 00:00:00,2024-02-01 00:00:00,low,data_breach,Operations,,,175646,investigating,Emma Davis
INC_00000155,2023-03-08 00:00:00,2023-03-11 00:00:00,medium,third_party_breach,HR,,VND_028,227967,closed,Grace Wilson
INC_00000156,2023-08-03 00:00:00,2023-08-05 00:00:00,low,policy_violation,IT,,,10101,remediated,Henry Moore
INC_00000157,2024-03-15 00:00:00,2024-03-18 00:00:00,high,policy_violation,Operations,,,14400,investigating,Carol Williams
INC_00000158,2024-03-29 00:00:00,2024-04-01 00:00:00,medium,data_breach,Customer Support,,,115434,remediated,Henry Moore
INC_00000159,2023-08-17 00:00:00,2023-08-18 00:00:00,low,policy_violation,Customer Support,EXEC_00018244,,10051,investigating,Jack Anderson
INC_00000160,2023-02-04 00:00:00,2023-02-07 00:00:00,low,access_violation,Marketing,,,34799,investigating,Henry Moore
INC_00000161,2024-03-07 00:00:00,2024-03-10 00:00:00,low,policy_violation,Sales,,,5310,remediated,David Brown
INC_00000162,2024-11-11 00:00:00,2024-11-13 00:00:00,low,policy_violation,Customer Support,,,5186,remediated,Carol Williams
INC_00000163,2024-07-30 00:00:00,2024-07-30 00:00:00,low,access_violation,Sales,,,28199,remediated,David Brown
INC_00000164,2023-06-16 00:00:00,2023-06-18 00:00:00,low,third_party_breach,Sales,,VND_011,353204,remediated,Emma Davis
INC_00000165,2023-04-02 00:00:00,2023-04-02 00:00:00,low,access_violation,Sales,EXEC_00028604,,48702,remediated,David Brown
INC_00000166,2025-01-09 00:00:00,2025-01-12 00:00:00,medium,policy_violation,Operations,,,17796,open,David Brown
INC_00000167,2024-04-24 00:00:00,2024-04-25 00:00:00,medium,system_failure,Customer Support,,,81693,remediated,Carol Williams
INC_00000168,2023-07-01 00:00:00,2023-07-01 00:00:00,medium,access_violation,Marketing,,,27854,remediated,Carol Williams
INC_00000169,2024-06-22 00:00:00,2024-06-24 00:00:00,medium,data_breach,Legal,,,195622,investigating,Carol Williams
INC_00000170,2023-08-30 00:00:00,2023-08-31 00:00:00,medium,access_violation,Operations,,,27877,remediated,Grace Wilson
INC_00000171,2024-08-08 00:00:00,2024-08-10 00:00:00,medium,data_breach,HR,,,257566,remediated,Alice Smith
INC_00000172,2024-06-09 00:00:00,2024-06-11 00:00:00,low,policy_violation,IT,,,17385,remediated,Grace Wilson
INC_00000173,2023-03-10 00:00:00,2023-03-12 00:00:00,low,policy_violation,Operations,,,9632,remediated,Frank Miller
INC_00000174,2023-05-01 00:00:00,2023-05-01 00:00:00,critical,policy_violation,IT,EXEC_00023202,,17626,investigating,Emma Davis
INC_00000175,2024-02-13 00:00:00,2024-02-16 00:00:00,medium,policy_violation,Finance,,,5852,remediated,Henry Moore
INC_00000176,2023-06-12 00:00:00,2023-06-12 00:00:00,low,third_party_breach,Legal,EXEC_00020494,VND_025,189134,investigating,Iris Taylor
INC_00000177,2023-02-26 00:00:00,2023-03-01 00:00:00,high,policy_violation,Marketing,EXEC_00006627,,8742,investigating,Bob Johnson
INC_00000178,2024-10-15 00:00:00,2024-10-17 00:00:00,high,policy_violation,IT,,,10598,investigating,Jack Anderson
INC_00000179,2023-02-26 00:00:00,2023-02-28 00:00:00,high,third_party_breach,Marketing,,VND_040,327854,open,Bob Johnson
INC_00000180,2024-09-25 00:00:00,2024-09-26 00:00:00,low,policy_violation,Marketing,,,14042,investigating,Frank Miller
INC_00000181,2024-08-09 00:00:00,2024-08-09 00:00:00,medium,policy_violation,IT,,,18493,remediated,Henry Moore
INC_00000182,2023-10-08 00:00:00,2023-10-08 00:00:00,low,access_violation,Legal,,,49333,remediated,Alice Smith
INC_00000183,2024-01-28 00:00:00,2024-01-30 00:00:00,medium,third_party_breach,Operations,EXEC_00011645,VND_014,395600,investigating,Emma Davis
INC_00000184,2024-04-25 00:00:00,2024-04-28 00:00:00,low,system_failure,HR,,,98593,remediated,Jack Anderson
INC_00000185,2024-08-16 00:00:00,2024-08-19 00:00:00,low,system_failure,IT,EXEC_00004382,,39928,remediated,Emma Davis
INC_00000186,2024-03-22 00:00:00,2024-03-24 00:00:00,medium,policy_violation,Legal,,,16744,remediated,Iris Taylor
INC_00000187,2024-11-04 00:00:00,2024-11-06 00:00:00,low,policy_violation,Marketing,,,8766,open,Henry Moore
INC_00000188,2024-07-16 00:00:00,2024-07-18 00:00:00,medium,third_party_breach,Operations,,VND_090,288911,remediated,Iris Taylor
INC_00000189,2024-12-01 00:00:00,2024-12-01 00:00:00,high,policy_violation,Marketing,,,9347,remediated,Alice Smith
INC_00000190,2024-02-21 00:00:00,2024-02-24 00:00:00,critical,policy_violation,Finance,EXEC_00014318,,10969,closed,Grace Wilson
INC_00000191,2023-10-12 00:00:00,2023-10-15 00:00:00,low,access_violation,HR,,,20825,investigating,Jack Anderson
INC_00000192,2023-03-27 00:00:00,2023-03-28 00:00:00,medium,system_failure,Operations,,,82420,open,David Brown
INC_00000193,2023-10-18 00:00:00,2023-10-19 00:00:00,low,system_failure,HR,,,79165,remediated,Carol Williams
INC_00000194,2024-05-30 00:00:00,2024-06-01 00:00:00,low,access_violation,Operations,,,49794,investigating,Alice Smith
INC_00000195,2024-02-15 00:00:00,2024-02-17 00:00:00,medium,system_failure,Operations,EXEC_00022127,,27353,investigating,Carol Williams
INC_00000196,2024-03-20 00:00:00,2024-03-23 00:00:00,high,access_violation,Sales,,,13848,investigating,Bob Johnson
INC_00000197,2024-02-18 00:00:00,2024-02-21 00:00:00,medium,system_failure,IT,,,98104,remediated,Alice Smith
INC_00000198,2024-10-26 00:00:00,2024-10-26 00:00:00,high,system_failure,Legal,,,52480,remediated,Carol Williams
INC_00000199,2023-05-27 00:00:00,2023-05-29 00:00:00,low,third_party_breach,Legal,,VND_053,351206,closed,Carol Williams
INC_00000200,2024-06-20 00:00:00,2024-06-21 00:00:00,medium,policy_violation,Marketing,,,12830,open,Bob Johnson
