execution_id,control_id,execution_date,status,tested_by,evidence,notes
EXEC_00000079,CTRL_002,2023-03-26,passed,Henry Moore,log_file_CTRL_002_20230326.pdf,Compliance verified
EXEC_00000080,CTRL_002,2023-03-27,passed,David Brown,checklist_CTRL_002_20230327.pdf,Compliance verified
EXEC_00000081,CTRL_002,2023-03-28,failed,Alice Smith,screenshot_CTRL_002_20230328.pdf,Control not operating as designed
EXEC_00000082,CTRL_002,2023-03-29,passed,Henry Moore,attestation_CTRL_002_20230329.pdf,Compliance verified
EXEC_00000083,CTRL_002,2023-03-30,passed,Carol Williams,checklist_CTRL_002_20230330.pdf,No exceptions identified
EXEC_00000084,CTRL_002,2023-03-31,passed,Emma Davis,attestation_CTRL_002_20230331.pdf,Compliance verified
EXEC_00000085,CTRL_002,2023-04-01,passed,David Brown,log_file_CTRL_002_20230401.pdf,No exceptions identified
EXEC_00000086,CTRL_002,2023-04-02,passed,Emma Davis,log_file_CTRL_002_20230402.pdf,Control operating effectively
EXEC_00000087,CTRL_002,2023-04-03,passed,Henry Moore,log_file_CTRL_002_20230403.pdf,Compliance verified
EXEC_00000088,CTRL_002,2023-04-04,passed,Emma Davis,log_file_CTRL_002_20230404.pdf,All checks completed successfully
EXEC_00000089,CTRL_002,2023-04-05,passed,Iris Taylor,checklist_CTRL_002_20230405.pdf,Compliance verified
EXEC_00000090,CTRL_002,2023-04-06,failed,Carol Williams,log_file_CTRL_002_20230406.pdf,Exception identified - requires remediation
EXEC_00000091,CTRL_002,2023-04-07,passed,Bob Johnson,log_file_CTRL_002_20230407.pdf,Compliance verified
EXEC_00000092,CTRL_002,2023-04-08,passed,Henry Moore,screenshot_CTRL_002_20230408.pdf,Control operating effectively
EXEC_00000093,CTRL_002,2023-04-09,failed,Emma Davis,attestation_CTRL_002_20230409.pdf,Non-compliance detected
EXEC_00000094,CTRL_002,2023-04-10,passed,Jack Anderson,attestation_CTRL_002_20230410.pdf,Control operating effectively
EXEC_00000095,CTRL_002,2023-04-11,passed,Iris Taylor,screenshot_CTRL_002_20230411.pdf,Control operating effectively
EXEC_00000096,CTRL_002,2023-04-12,passed,Grace Wilson,log_file_CTRL_002_20230412.pdf,Compliance verified
EXEC_00000097,CTRL_002,2023-04-13,passed,Carol Williams,report_CTRL_002_20230413.pdf,Control operating effectively
EXEC_00000098,CTRL_002,2023-04-14,passed,Henry Moore,checklist_CTRL_002_20230414.pdf,Control operating effectively
EXEC_00000099,CTRL_002,2023-04-15,failed,Emma Davis,log_file_CTRL_002_20230415.pdf,Non-compliance detected
EXEC_00000100,CTRL_002,2023-04-16,passed,Bob Johnson,attestation_CTRL_002_20230416.pdf,Control operating effectively
EXEC_00000101,CTRL_002,2023-04-17,passed,Alice Smith,screenshot_CTRL_002_20230417.pdf,Compliance verified
EXEC_00000102,CTRL_002,2023-04-18,failed,Carol Williams,report_CTRL_002_20230418.pdf,Significant deficiency found
EXEC_00000103,CTRL_002,2023-04-19,failed,Carol Williams,log_file_CTRL_002_20230419.pdf,Exception identified - requires remediation
EXEC_00000104,CTRL_002,2023-04-20,passed,Jack Anderson,attestation_CTRL_002_20230420.pdf,All checks completed successfully
EXEC_00000105,CTRL_002,2023-04-21,not_tested,Frank Miller,,System unavailable for testing
EXEC_00000106,CTRL_002,2023-04-22,not_applicable,Iris Taylor,attestation_CTRL_002_20230422.pdf,System not in scope
EXEC_00000107,CTRL_002,2023-04-23,failed,Carol Williams,attestation_CTRL_002_20230423.pdf,Significant deficiency found
EXEC_00000108,CTRL_002,2023-04-24,passed,Bob Johnson,log_file_CTRL_002_20230424.pdf,Control operating effectively
EXEC_00000109,CTRL_002,2023-04-25,failed,Emma Davis,screenshot_CTRL_002_20230425.pdf,Exception identified - requires remediation
EXEC_00000110,CTRL_002,2023-04-26,failed,Emma Davis,attestation_CTRL_002_20230426.pdf,Control not operating as designed
EXEC_00000111,CTRL_002,2023-04-27,passed,Grace Wilson,checklist_CTRL_002_20230427.pdf,No exceptions identified
EXEC_00000112,CTRL_002,2023-04-28,passed,Bob Johnson,screenshot_CTRL_002_20230428.pdf,Control operating effectively
EXEC_00000113,CTRL_002,2023-04-29,passed,David Brown,report_CTRL_002_20230429.pdf,No exceptions identified
EXEC_00000114,CTRL_002,2023-04-30,passed,Henry Moore,log_file_CTRL_002_20230430.pdf,No exceptions identified
EXEC_00000115,CTRL_002,2023-05-01,passed,Jack Anderson,report_CTRL_002_20230501.pdf,No exceptions identified
EXEC_00000116,CTRL_002,2023-05-02,passed,David Brown,report_CTRL_002_20230502.pdf,All checks completed successfully
EXEC_00000117,CTRL_002,2023-05-03,passed,Carol Williams,checklist_CTRL_002_20230503.pdf,No exceptions identified
EXEC_00000118,CTRL_002,2023-05-04,passed,Emma Davis,log_file_CTRL_002_20230504.pdf,Control operating effectively
EXEC_00000119,CTRL_002,2023-05-05,passed,Carol Williams,checklist_CTRL_002_20230505.pdf,Control operating effectively
EXEC_00000120,CTRL_002,2023-05-06,passed,Jack Anderson,log_file_CTRL_002_20230506.pdf,Compliance verified
EXEC_00000121,CTRL_002,2023-05-07,failed,Henry Moore,attestation_CTRL_002_20230507.pdf,Control not operating as designed
EXEC_00000122,CTRL_002,2023-05-08,failed,Jack Anderson,report_CTRL_002_20230508.pdf,Significant deficiency found
EXEC_00000123,CTRL_002,2023-05-09,passed,Frank Miller,report_CTRL_002_20230509.pdf,All checks completed successfully
EXEC_00000124,CTRL_002,2023-05-10,passed,Iris Taylor,attestation_CTRL_002_20230510.pdf,Control operating effectively
EXEC_00000125,CTRL_002,2023-05-11,passed,Carol Williams,screenshot_CTRL_002_20230511.pdf,No exceptions identified
EXEC_00000126,CTRL_002,2023-05-12,failed,Henry Moore,report_CTRL_002_20230512.pdf,Control not operating as designed
EXEC_00000127,CTRL_002,2023-05-13,failed,Henry Moore,report_CTRL_002_20230513.pdf,Significant deficiency found
EXEC_00000128,CTRL_002,2023-05-14,failed,Henry Moore,screenshot_CTRL_002_20230514.pdf,Significant deficiency found
EXEC_00000129,CTRL_002,2023-05-15,passed,Alice Smith,attestation_CTRL_002_20230515.pdf,Compliance verified
EXEC_00000130,CTRL_002,2023-05-16,passed,Emma Davis,report_CTRL_002_20230516.pdf,Compliance verified
EXEC_00000131,CTRL_002,2023-05-17,passed,Alice Smith,screenshot_CTRL_002_20230517.pdf,All checks completed successfully
EXEC_00000132,CTRL_002,2023-05-18,passed,Frank Miller,report_CTRL_002_20230518.pdf,All checks completed successfully
EXEC_00000133,CTRL_002,2023-05-19,not_tested,Bob Johnson,,Testing postponed due to resource constraints
EXEC_00000134,CTRL_002,2023-05-20,passed,Carol Williams,screenshot_CTRL_002_20230520.pdf,Compliance verified
EXEC_00000135,CTRL_002,2023-05-21,passed,Grace Wilson,checklist_CTRL_002_20230521.pdf,Compliance verified
EXEC_00000136,CTRL_002,2023-05-22,passed,Iris Taylor,screenshot_CTRL_002_20230522.pdf,No exceptions identified
EXEC_00000137,CTRL_002,2023-05-23,passed,Iris Taylor,checklist_CTRL_002_20230523.pdf,Control operating effectively
EXEC_00000138,CTRL_002,2023-05-24,failed,David Brown,report_CTRL_002_20230524.pdf,Exception identified - requires remediation
EXEC_00000139,CTRL_002,2023-05-25,not_tested,Henry Moore,,System unavailable for testing
EXEC_00000140,CTRL_002,2023-05-26,passed,David Brown,screenshot_CTRL_002_20230526.pdf,Compliance verified
EXEC_00000141,CTRL_002,2023-05-27,passed,Emma Davis,screenshot_CTRL_002_20230527.pdf,All checks completed successfully
EXEC_00000142,CTRL_002,2023-05-28,passed,Grace Wilson,attestation_CTRL_002_20230528.pdf,All checks completed successfully
EXEC_00000143,CTRL_002,2023-05-29,passed,Bob Johnson,report_CTRL_002_20230529.pdf,All checks completed successfully
EXEC_00000144,CTRL_002,2023-05-30,passed,Alice Smith,screenshot_CTRL_002_20230530.pdf,All checks completed successfully
EXEC_00000145,CTRL_002,2023-05-31,passed,David Brown,attestation_CTRL_002_20230531.pdf,Control operating effectively
EXEC_00000146,CTRL_002,2023-06-01,failed,Alice Smith,screenshot_CTRL_002_20230601.pdf,Non-compliance detected
EXEC_00000147,CTRL_002,2023-06-02,passed,Jack Anderson,log_file_CTRL_002_20230602.pdf,No exceptions identified
EXEC_00000148,CTRL_002,2023-06-03,passed,Carol Williams,attestation_CTRL_002_20230603.pdf,Control operating effectively
EXEC_00000149,CTRL_002,2023-06-04,passed,Emma Davis,report_CTRL_002_20230604.pdf,Control operating effectively
EXEC_00000150,CTRL_002,2023-06-05,passed,Grace Wilson,attestation_CTRL_002_20230605.pdf,Compliance verified
EXEC_00000151,CTRL_002,2023-06-06,passed,Frank Miller,checklist_CTRL_002_20230606.pdf,No exceptions identified
EXEC_00000152,CTRL_002,2023-06-07,passed,Grace Wilson,screenshot_CTRL_002_20230607.pdf,No exceptions identified
EXEC_00000153,CTRL_002,2023-06-08,passed,Iris Taylor,checklist_CTRL_002_20230608.pdf,Control operating effectively
EXEC_00000154,CTRL_002,2023-06-09,failed,Emma Davis,screenshot_CTRL_002_20230609.pdf,Significant deficiency found
EXEC_00000155,CTRL_002,2023-06-10,not_tested,Iris Taylor,,System unavailable for testing
EXEC_00000156,CTRL_002,2023-06-11,passed,Carol Williams,checklist_CTRL_002_20230611.pdf,Control operating effectively
EXEC_00000157,CTRL_002,2023-06-12,passed,Frank Miller,report_CTRL_002_20230612.pdf,Compliance verified
EXEC_00000158,CTRL_002,2023-06-13,failed,Bob Johnson,attestation_CTRL_002_20230613.pdf,Control not operating as designed
EXEC_00000159,CTRL_002,2023-06-14,passed,Grace Wilson,attestation_CTRL_002_20230614.pdf,All checks completed successfully
EXEC_00000160,CTRL_002,2023-06-15,failed,David Brown,attestation_CTRL_002_20230615.pdf,Control not operating as designed
EXEC_00000161,CTRL_002,2023-06-16,passed,Frank Miller,log_file_CTRL_002_20230616.pdf,All checks completed successfully
EXEC_00000162,CTRL_002,2023-06-17,passed,David Brown,report_CTRL_002_20230617.pdf,Compliance verified
EXEC_00000163,CTRL_002,2023-06-18,not_tested,Jack Anderson,,System unavailable for testing
EXEC_00000164,CTRL_002,2023-06-19,not_tested,Iris Taylor,,System unavailable for testing
EXEC_00000165,CTRL_002,2023-06-20,passed,Iris Taylor,log_file_CTRL_002_20230620.pdf,No exceptions identified
EXEC_00000166,CTRL_002,2023-06-21,passed,Iris Taylor,checklist_CTRL_002_20230621.pdf,Compliance verified
EXEC_00000167,CTRL_002,2023-06-22,passed,Henry Moore,log_file_CTRL_002_20230622.pdf,Control operating effectively
EXEC_00000168,CTRL_002,2023-06-23,passed,Grace Wilson,report_CTRL_002_20230623.pdf,Control operating effectively
EXEC_00000169,CTRL_002,2023-06-24,failed,Alice Smith,log_file_CTRL_002_20230624.pdf,Significant deficiency found
EXEC_00000170,CTRL_002,2023-06-25,passed,David Brown,log_file_CTRL_002_20230625.pdf,Control operating effectively
EXEC_00000171,CTRL_002,2023-06-26,passed,David Brown,checklist_CTRL_002_20230626.pdf,No exceptions identified
EXEC_00000172,CTRL_002,2023-06-27,passed,Henry Moore,checklist_CTRL_002_20230627.pdf,Compliance verified
EXEC_00000173,CTRL_002,2023-06-28,passed,Frank Miller,screenshot_CTRL_002_20230628.pdf,Control operating effectively
EXEC_00000174,CTRL_002,2023-06-29,failed,Henry Moore,screenshot_CTRL_002_20230629.pdf,Exception identified - requires remediation
EXEC_00000175,CTRL_002,2023-06-30,passed,Bob Johnson,report_CTRL_002_20230630.pdf,All checks completed successfully
EXEC_00000176,CTRL_002,2023-07-01,passed,David Brown,report_CTRL_002_20230701.pdf,Control operating effectively
EXEC_00000177,CTRL_002,2023-07-02,passed,Iris Taylor,checklist_CTRL_002_20230702.pdf,No exceptions identified
EXEC_00000178,CTRL_002,2023-07-03,passed,Jack Anderson,checklist_CTRL_002_20230703.pdf,Compliance verified
EXEC_00000179,CTRL_002,2023-07-04,passed,Iris Taylor,attestation_CTRL_002_20230704.pdf,Compliance verified
EXEC_00000180,CTRL_002,2023-07-05,passed,Iris Taylor,log_file_CTRL_002_20230705.pdf,No exceptions identified
EXEC_00000181,CTRL_002,2023-07-06,passed,Grace Wilson,screenshot_CTRL_002_20230706.pdf,All checks completed successfully
EXEC_00000182,CTRL_002,2023-07-07,not_tested,Iris Taylor,,Testing postponed due to resource constraints
EXEC_00000183,CTRL_002,2023-07-08,passed,Iris Taylor,log_file_CTRL_002_20230708.pdf,No exceptions identified
EXEC_00000184,CTRL_002,2023-07-09,passed,Grace Wilson,report_CTRL_002_20230709.pdf,No exceptions identified
EXEC_00000185,CTRL_002,2023-07-10,not_tested,Henry Moore,,Testing postponed due to resource constraints
EXEC_00000186,CTRL_002,2023-07-11,not_applicable,David Brown,log_file_CTRL_002_20230711.pdf,Process not active
EXEC_00000187,CTRL_002,2023-07-12,failed,Bob Johnson,report_CTRL_002_20230712.pdf,Exception identified - requires remediation
EXEC_00000188,CTRL_002,2023-07-13,passed,Grace Wilson,attestation_CTRL_002_20230713.pdf,Compliance verified
EXEC_00000189,CTRL_002,2023-07-14,passed,Alice Smith,screenshot_CTRL_002_20230714.pdf,All checks completed successfully
EXEC_00000190,CTRL_002,2023-07-15,passed,Grace Wilson,log_file_CTRL_002_20230715.pdf,All checks completed successfully
EXEC_00000191,CTRL_002,2023-07-16,failed,Alice Smith,screenshot_CTRL_002_20230716.pdf,Control not operating as designed
EXEC_00000192,CTRL_002,2023-07-17,not_tested,Jack Anderson,,System unavailable for testing
EXEC_00000193,CTRL_002,2023-07-18,passed,Bob Johnson,log_file_CTRL_002_20230718.pdf,All checks completed successfully
EXEC_00000194,CTRL_002,2023-07-19,passed,Frank Miller,report_CTRL_002_20230719.pdf,Control operating effectively
EXEC_00000195,CTRL_002,2023-07-20,passed,Grace Wilson,report_CTRL_002_20230720.pdf,No exceptions identified
EXEC_00000196,CTRL_002,2023-07-21,passed,David Brown,attestation_CTRL_002_20230721.pdf,Compliance verified
EXEC_00000197,CTRL_002,2023-07-22,passed,Iris Taylor,log_file_CTRL_002_20230722.pdf,Compliance verified
EXEC_00000198,CTRL_002,2023-07-23,failed,Carol Williams,report_CTRL_002_20230723.pdf,Non-compliance detected
EXEC_00000199,CTRL_002,2023-07-24,passed,Grace Wilson,screenshot_CTRL_002_20230724.pdf,All checks completed successfully
EXEC_00000200,CTRL_002,2023-07-25,passed,Jack Anderson,attestation_CTRL_002_20230725.pdf,Compliance verified
EXEC_00000201,CTRL_002,2023-07-26,not_tested,Frank Miller,,Scheduled for next period
EXEC_00000202,CTRL_002,2023-07-27,passed,Henry Moore,checklist_CTRL_002_20230727.pdf,Control operating effectively
EXEC_00000203,CTRL_002,2023-07-28,passed,Grace Wilson,checklist_CTRL_002_20230728.pdf,Control operating effectively
EXEC_00000204,CTRL_002,2023-07-29,passed,Grace Wilson,report_CTRL_002_20230729.pdf,No exceptions identified
EXEC_00000205,CTRL_002,2023-07-30,failed,Bob Johnson,report_CTRL_002_20230730.pdf,Non-compliance detected
EXEC_00000206,CTRL_002,2023-07-31,passed,Carol Williams,checklist_CTRL_002_20230731.pdf,No exceptions identified
EXEC_00000207,CTRL_002,2023-08-01,passed,Bob Johnson,report_CTRL_002_20230801.pdf,No exceptions identified
EXEC_00000208,CTRL_002,2023-08-02,passed,Emma Davis,report_CTRL_002_20230802.pdf,Control operating effectively
EXEC_00000209,CTRL_002,2023-08-03,passed,Grace Wilson,checklist_CTRL_002_20230803.pdf,Compliance verified
EXEC_00000210,CTRL_002,2023-08-04,passed,Bob Johnson,log_file_CTRL_002_20230804.pdf,All checks completed successfully
EXEC_00000211,CTRL_002,2023-08-05,passed,Frank Miller,checklist_CTRL_002_20230805.pdf,All checks completed successfully
EXEC_00000212,CTRL_002,2023-08-06,passed,Grace Wilson,report_CTRL_002_20230806.pdf,Control operating effectively
EXEC_00000213,CTRL_002,2023-08-07,passed,Carol Williams,checklist_CTRL_002_20230807.pdf,Control operating effectively
EXEC_00000214,CTRL_002,2023-08-08,passed,Emma Davis,log_file_CTRL_002_20230808.pdf,Compliance verified
EXEC_00000215,CTRL_002,2023-08-09,passed,Carol Williams,checklist_CTRL_002_20230809.pdf,No exceptions identified
EXEC_00000216,CTRL_002,2023-08-10,passed,Henry Moore,report_CTRL_002_20230810.pdf,No exceptions identified
EXEC_00000217,CTRL_002,2023-08-11,passed,David Brown,checklist_CTRL_002_20230811.pdf,Control operating effectively
EXEC_00000218,CTRL_002,2023-08-12,passed,Carol Williams,log_file_CTRL_002_20230812.pdf,All checks completed successfully
EXEC_00000219,CTRL_002,2023-08-13,not_tested,Frank Miller,,System unavailable for testing
EXEC_00000220,CTRL_002,2023-08-14,failed,Frank Miller,checklist_CTRL_002_20230814.pdf,Non-compliance detected
EXEC_00000221,CTRL_002,2023-08-15,passed,Jack Anderson,screenshot_CTRL_002_20230815.pdf,No exceptions identified
EXEC_00000222,CTRL_002,2023-08-16,passed,David Brown,checklist_CTRL_002_20230816.pdf,No exceptions identified
EXEC_00000223,CTRL_002,2023-08-17,passed,Grace Wilson,log_file_CTRL_002_20230817.pdf,No exceptions identified
EXEC_00000224,CTRL_002,2023-08-18,failed,Henry Moore,attestation_CTRL_002_20230818.pdf,Control not operating as designed
EXEC_00000225,CTRL_002,2023-08-19,passed,Emma Davis,checklist_CTRL_002_20230819.pdf,No exceptions identified
EXEC_00000226,CTRL_002,2023-08-20,passed,Jack Anderson,screenshot_CTRL_002_20230820.pdf,Control operating effectively
EXEC_00000227,CTRL_002,2023-08-21,passed,Iris Taylor,report_CTRL_002_20230821.pdf,Compliance verified
EXEC_00000228,CTRL_002,2023-08-22,not_tested,David Brown,,System unavailable for testing
EXEC_00000229,CTRL_002,2023-08-23,failed,Bob Johnson,checklist_CTRL_002_20230823.pdf,Significant deficiency found
EXEC_00000230,CTRL_002,2023-08-24,passed,Emma Davis,screenshot_CTRL_002_20230824.pdf,No exceptions identified
EXEC_00000231,CTRL_002,2023-08-25,passed,Grace Wilson,checklist_CTRL_002_20230825.pdf,All checks completed successfully
EXEC_00000232,CTRL_002,2023-08-26,passed,Jack Anderson,checklist_CTRL_002_20230826.pdf,Compliance verified
EXEC_00000233,CTRL_002,2023-08-27,passed,Grace Wilson,attestation_CTRL_002_20230827.pdf,All checks completed successfully
EXEC_00000234,CTRL_002,2023-08-28,failed,Frank Miller,attestation_CTRL_002_20230828.pdf,Exception identified - requires remediation
EXEC_00000235,CTRL_002,2023-08-29,passed,David Brown,log_file_CTRL_002_20230829.pdf,Control operating effectively
